Date,sec_type,filename,cik,ticker
2008-02-29,10-K,0001035443_2008-02-29.txt,1035443,are
2012-02-21,10-K,0001035443_2012-02-21.txt,1035443,are
2015-02-24,10-K,0001035443_2015-02-24.txt,1035443,are
2009-02-17,10-K,0001035443_2009-02-17.txt,1035443,are
2017-01-31,10-K,0001035443_2017-01-31.txt,1035443,are
2016-02-03,10-K,0001035443_2016-02-03.txt,1035443,are
2014-03-03,10-K,0001035443_2014-03-03.txt,1035443,are
2013-02-26,10-K,0001035443_2013-02-26.txt,1035443,are
2011-03-01,10-K,0001035443_2011-03-01.txt,1035443,are
2010-03-01,10-K,0001035443_2010-03-01.txt,1035443,are
2019-02-05,10-K,0001035443_2019-02-05.txt,1035443,are
2018-01-30,10-K,0001035443_2018-01-30.txt,1035443,are
