Date,sec_type,filename,cik,ticker
2019-02-07,10-K,0000936340_2019-02-07.txt,936340,dte
2012-02-16,10-K,0000936340_2012-02-16.txt,936340,dte
2011-02-18,10-K,0000936340_2011-02-18.txt,936340,dte
2017-02-09,10-K,0000936340_2017-02-09.txt,936340,dte
2014-02-14,10-K,0000936340_2014-02-14.txt,936340,dte
2010-02-23,10-K,0000936340_2010-02-23.txt,936340,dte
2015-02-13,10-K,0000936340_2015-02-13.txt,936340,dte
2009-02-27,10-K,0000936340_2009-02-27.txt,936340,dte
2018-02-16,10-K,0000936340_2018-02-16.txt,936340,dte
2008-03-07,10-K,0000936340_2008-03-07.txt,936340,dte
2016-02-10,10-K,0000936340_2016-02-10.txt,936340,dte
2013-02-20,10-K,0000936340_2013-02-20.txt,936340,dte
