Date,sec_type,filename,cik,ticker
2017-01-20,10-K,0000796343_2017-01-20.txt,796343,adbe
2008-01-24,10-K,0000796343_2008-01-24.txt,796343,adbe
2011-01-27,10-K,0000796343_2011-01-27.txt,796343,adbe
2009-01-23,10-K,0000796343_2009-01-23.txt,796343,adbe
2010-01-22,10-K,0000796343_2010-01-22.txt,796343,adbe
2016-01-19,10-K,0000796343_2016-01-19.txt,796343,adbe
2013-01-22,10-K,0000796343_2013-01-22.txt,796343,adbe
2018-01-22,10-K,0000796343_2018-01-22.txt,796343,adbe
2015-01-20,10-K,0000796343_2015-01-20.txt,796343,adbe
2019-01-25,10-K,0000796343_2019-01-25.txt,796343,adbe
2014-01-21,10-K,0000796343_2014-01-21.txt,796343,adbe
2012-01-26,10-K,0000796343_2012-01-26.txt,796343,adbe
