Date,sec_type,filename,cik,ticker
2016-02-26,10-K,0000831259_2016-02-26.txt,831259,fcx
2009-02-26,10-K,0000831259_2009-02-26.txt,831259,fcx
2010-02-26,10-K,0000831259_2010-02-26.txt,831259,fcx
2017-02-24,10-K,0000831259_2017-02-24.txt,831259,fcx
2011-02-25,10-K,0000831259_2011-02-25.txt,831259,fcx
2019-02-15,10-K,0000831259_2019-02-15.txt,831259,fcx
2008-02-29,10-K,0000831259_2008-02-29.txt,831259,fcx
2014-02-27,10-K,0000831259_2014-02-27.txt,831259,fcx
2012-02-27,10-K,0000831259_2012-02-27.txt,831259,fcx
2013-02-22,10-K,0000831259_2013-02-22.txt,831259,fcx
2015-02-27,10-K,0000831259_2015-02-27.txt,831259,fcx
2018-02-20,10-K,0000831259_2018-02-20.txt,831259,fcx
