Date,sec_type,filename,cik,ticker
2013-02-21,10-K,0000005272_2013-02-21.txt,5272,aig
2015-02-20,10-K,0000005272_2015-02-20.txt,5272,aig
2008-02-28,10-K,0000005272_2008-02-28.txt,5272,aig
2012-02-23,10-K,0000005272_2012-02-23.txt,5272,aig
2014-02-20,10-K,0000005272_2014-02-20.txt,5272,aig
2009-03-02,10-K,0000005272_2009-03-02.txt,5272,aig
2017-02-23,10-K,0000005272_2017-02-23.txt,5272,aig
2011-02-24,10-K,0000005272_2011-02-24.txt,5272,aig
2019-02-15,10-K,0000005272_2019-02-15.txt,5272,aig
2016-02-19,10-K,0000005272_2016-02-19.txt,5272,aig
2018-02-16,10-K,0000005272_2018-02-16.txt,5272,aig
2010-02-26,10-K,0000005272_2010-02-26.txt,5272,aig
