Date,sec_type,filename,cik,ticker
2017-08-02,10-Q,0000048039_2017-08-02.txt,48039,hfc
2018-05-02,10-Q,0000048039_2018-05-02.txt,48039,hfc
2014-11-05,10-Q,0000048039_2014-11-05.txt,48039,hfc
2018-10-31,10-Q,0000048039_2018-10-31.txt,48039,hfc
2015-05-06,10-Q,0000048039_2015-05-06.txt,48039,hfc
2009-05-08,10-Q,0000048039_2009-05-08.txt,48039,hfc
2011-11-08,10-Q,0000048039_2011-11-08.txt,48039,hfc
2012-08-09,10-Q,0000048039_2012-08-09.txt,48039,hfc
2016-08-03,10-Q,0000048039_2016-08-03.txt,48039,hfc
2013-11-07,10-Q,0000048039_2013-11-07.txt,48039,hfc
2010-08-06,10-Q,0000048039_2010-08-06.txt,48039,hfc
2009-08-10,10-Q,0000048039_2009-08-10.txt,48039,hfc
2015-11-05,10-Q,0000048039_2015-11-05.txt,48039,hfc
2011-05-09,10-Q,0000048039_2011-05-09.txt,48039,hfc
2014-05-06,10-Q,0000048039_2014-05-06.txt,48039,hfc
2013-08-08,10-Q,0000048039_2013-08-08.txt,48039,hfc
2010-11-05,10-Q,0000048039_2010-11-05.txt,48039,hfc
2009-11-06,10-Q,0000048039_2009-11-06.txt,48039,hfc
2016-11-03,10-Q,0000048039_2016-11-03.txt,48039,hfc
2018-08-02,10-Q,0000048039_2018-08-02.txt,48039,hfc
2008-05-12,10-Q,0000048039_2008-05-12.txt,48039,hfc
2015-08-05,10-Q,0000048039_2015-08-05.txt,48039,hfc
2012-05-08,10-Q,0000048039_2012-05-08.txt,48039,hfc
2017-05-04,10-Q,0000048039_2017-05-04.txt,48039,hfc
2017-11-02,10-Q,0000048039_2017-11-02.txt,48039,hfc
2010-05-07,10-Q,0000048039_2010-05-07.txt,48039,hfc
2008-11-07,10-Q,0000048039_2008-11-07.txt,48039,hfc
2008-08-08,10-Q,0000048039_2008-08-08.txt,48039,hfc
2013-05-08,10-Q,0000048039_2013-05-08.txt,48039,hfc
2014-08-06,10-Q,0000048039_2014-08-06.txt,48039,hfc
2012-11-08,10-Q,0000048039_2012-11-08.txt,48039,hfc
2016-05-04,10-Q,0000048039_2016-05-04.txt,48039,hfc
2011-08-08,10-Q,0000048039_2011-08-08.txt,48039,hfc
