Date,sec_type,filename,cik,ticker
2009-11-05,10-Q,0000882095_2009-11-05.txt,882095,gild
2008-10-31,10-Q,0000882095_2008-10-31.txt,882095,gild
2017-05-10,10-Q,0000882095_2017-05-10.txt,882095,gild
2010-08-09,10-Q,0000882095_2010-08-09.txt,882095,gild
2013-08-01,10-Q,0000882095_2013-08-01.txt,882095,gild
2016-11-07,10-Q,0000882095_2016-11-07.txt,882095,gild
2008-05-02,10-Q,0000882095_2008-05-02.txt,882095,gild
2018-08-06,10-Q,0000882095_2018-08-06.txt,882095,gild
2015-08-05,10-Q,0000882095_2015-08-05.txt,882095,gild
2018-05-09,10-Q,0000882095_2018-05-09.txt,882095,gild
2010-05-10,10-Q,0000882095_2010-05-10.txt,882095,gild
2009-05-07,10-Q,0000882095_2009-05-07.txt,882095,gild
2011-11-04,10-Q,0000882095_2011-11-04.txt,882095,gild
2015-05-08,10-Q,0000882095_2015-05-08.txt,882095,gild
2017-11-07,10-Q,0000882095_2017-11-07.txt,882095,gild
2012-08-01,10-Q,0000882095_2012-08-01.txt,882095,gild
2014-08-04,10-Q,0000882095_2014-08-04.txt,882095,gild
2013-05-08,10-Q,0000882095_2013-05-08.txt,882095,gild
2016-05-06,10-Q,0000882095_2016-05-06.txt,882095,gild
2012-11-06,10-Q,0000882095_2012-11-06.txt,882095,gild
2013-10-31,10-Q,0000882095_2013-10-31.txt,882095,gild
2008-08-11,10-Q,0000882095_2008-08-11.txt,882095,gild
2011-08-05,10-Q,0000882095_2011-08-05.txt,882095,gild
2017-08-07,10-Q,0000882095_2017-08-07.txt,882095,gild
2014-11-05,10-Q,0000882095_2014-11-05.txt,882095,gild
2012-05-04,10-Q,0000882095_2012-05-04.txt,882095,gild
2009-08-05,10-Q,0000882095_2009-08-05.txt,882095,gild
2010-11-08,10-Q,0000882095_2010-11-08.txt,882095,gild
2011-05-09,10-Q,0000882095_2011-05-09.txt,882095,gild
2015-11-04,10-Q,0000882095_2015-11-04.txt,882095,gild
2016-08-05,10-Q,0000882095_2016-08-05.txt,882095,gild
2014-05-07,10-Q,0000882095_2014-05-07.txt,882095,gild
2018-11-06,10-Q,0000882095_2018-11-06.txt,882095,gild
