Date,sec_type,filename,cik,ticker
2015-04-30,10-Q,0000908255_2015-04-30.txt,908255,bwa
2011-10-28,10-Q,0000908255_2011-10-28.txt,908255,bwa
2018-04-26,10-Q,0000908255_2018-04-26.txt,908255,bwa
2008-10-29,10-Q,0000908255_2008-10-29.txt,908255,bwa
2008-07-31,10-Q,0000908255_2008-07-31.txt,908255,bwa
2010-04-29,10-Q,0000908255_2010-04-29.txt,908255,bwa
2014-10-30,10-Q,0000908255_2014-10-30.txt,908255,bwa
2014-05-01,10-Q,0000908255_2014-05-01.txt,908255,bwa
2013-04-25,10-Q,0000908255_2013-04-25.txt,908255,bwa
2017-07-27,10-Q,0000908255_2017-07-27.txt,908255,bwa
2016-04-28,10-Q,0000908255_2016-04-28.txt,908255,bwa
2012-10-31,10-Q,0000908255_2012-10-31.txt,908255,bwa
2018-10-25,10-Q,0000908255_2018-10-25.txt,908255,bwa
2010-07-30,10-Q,0000908255_2010-07-30.txt,908255,bwa
2011-04-28,10-Q,0000908255_2011-04-28.txt,908255,bwa
2009-10-28,10-Q,0000908255_2009-10-28.txt,908255,bwa
2012-04-26,10-Q,0000908255_2012-04-26.txt,908255,bwa
2013-10-30,10-Q,0000908255_2013-10-30.txt,908255,bwa
2016-10-27,10-Q,0000908255_2016-10-27.txt,908255,bwa
2013-07-25,10-Q,0000908255_2013-07-25.txt,908255,bwa
2016-07-28,10-Q,0000908255_2016-07-28.txt,908255,bwa
2017-04-27,10-Q,0000908255_2017-04-27.txt,908255,bwa
2015-10-29,10-Q,0000908255_2015-10-29.txt,908255,bwa
2009-07-29,10-Q,0000908255_2009-07-29.txt,908255,bwa
2018-07-26,10-Q,0000908255_2018-07-26.txt,908255,bwa
2010-10-27,10-Q,0000908255_2010-10-27.txt,908255,bwa
2015-07-30,10-Q,0000908255_2015-07-30.txt,908255,bwa
2008-05-02,10-Q,0000908255_2008-05-02.txt,908255,bwa
2017-10-26,10-Q,0000908255_2017-10-26.txt,908255,bwa
2012-07-26,10-Q,0000908255_2012-07-26.txt,908255,bwa
2014-07-31,10-Q,0000908255_2014-07-31.txt,908255,bwa
2009-04-30,10-Q,0000908255_2009-04-30.txt,908255,bwa
2011-07-28,10-Q,0000908255_2011-07-28.txt,908255,bwa
