Date,sec_type,filename,cik,ticker
2016-06-15,10-Q,0000866787_2016-06-15.txt,866787,azo
2018-06-08,10-Q,0000866787_2018-06-08.txt,866787,azo
2014-12-18,10-Q,0000866787_2014-12-18.txt,866787,azo
2016-03-22,10-Q,0000866787_2016-03-22.txt,866787,azo
2010-03-18,10-Q,0000866787_2010-03-18.txt,866787,azo
2018-03-16,10-Q,0000866787_2018-03-16.txt,866787,azo
2009-03-19,10-Q,0000866787_2009-03-19.txt,866787,azo
2010-06-16,10-Q,0000866787_2010-06-16.txt,866787,azo
2013-03-07,10-Q,0000866787_2013-03-07.txt,866787,azo
2011-12-15,10-Q,0000866787_2011-12-15.txt,866787,azo
2017-06-14,10-Q,0000866787_2017-06-14.txt,866787,azo
2013-12-18,10-Q,0000866787_2013-12-18.txt,866787,azo
2008-06-12,10-Q,0000866787_2008-06-12.txt,866787,azo
2016-12-14,10-Q,0000866787_2016-12-14.txt,866787,azo
2011-06-15,10-Q,0000866787_2011-06-15.txt,866787,azo
2019-03-15,10-Q,0000866787_2019-03-15.txt,866787,azo
2010-12-16,10-Q,0000866787_2010-12-16.txt,866787,azo
2018-12-18,10-Q,0000866787_2018-12-18.txt,866787,azo
2009-12-17,10-Q,0000866787_2009-12-17.txt,866787,azo
2017-03-21,10-Q,0000866787_2017-03-21.txt,866787,azo
2014-06-18,10-Q,0000866787_2014-06-18.txt,866787,azo
2014-03-25,10-Q,0000866787_2014-03-25.txt,866787,azo
2011-03-17,10-Q,0000866787_2011-03-17.txt,866787,azo
2015-12-16,10-Q,0000866787_2015-12-16.txt,866787,azo
2012-06-13,10-Q,0000866787_2012-06-13.txt,866787,azo
2012-03-08,10-Q,0000866787_2012-03-08.txt,866787,azo
2008-03-10,10-Q,0000866787_2008-03-10.txt,866787,azo
2013-06-12,10-Q,0000866787_2013-06-12.txt,866787,azo
2015-03-24,10-Q,0000866787_2015-03-24.txt,866787,azo
2009-06-18,10-Q,0000866787_2009-06-18.txt,866787,azo
2012-12-13,10-Q,0000866787_2012-12-13.txt,866787,azo
2008-12-19,10-Q,0000866787_2008-12-19.txt,866787,azo
2015-06-17,10-Q,0000866787_2015-06-17.txt,866787,azo
2017-12-19,10-Q,0000866787_2017-12-19.txt,866787,azo
