72971,wfc,2012-02-28,10-K,0000072971_2012-02-28.txt,0.025,0.8685,0.1065
72971,wfc,2011-02-25,10-K,0000072971_2011-02-25.txt,0.02375,0.87,0.10625
72971,wfc,2016-02-24,10-K,0000072971_2016-02-24.txt,0.024142857142857143,0.8739999999999999,0.102
72971,wfc,2009-02-27,10-K,0000072971_2009-02-27.txt,0.019285714285714288,0.8892857142857142,0.09128571428571428
72971,wfc,2017-03-01,10-K,0000072971_2017-03-01.txt,0.022833333333333334,0.88,0.09749999999999999
72971,wfc,2010-02-26,10-K,0000072971_2010-02-26.txt,0.02085714285714286,0.891,0.08828571428571427
72971,wfc,2015-02-25,10-K,0000072971_2015-02-25.txt,0.022571428571428572,0.8794285714285713,0.09757142857142856
72971,wfc,2013-02-27,10-K,0000072971_2013-02-27.txt,0.025714285714285717,0.8902857142857142,0.08371428571428571
72971,wfc,2019-02-27,10-K,0000072971_2019-02-27.txt,0.01916666666666667,0.8888333333333334,0.09133333333333332
72971,wfc,2008-02-29,10-K,0000072971_2008-02-29.txt,0.02,0.8976666666666667,0.08266666666666667
72971,wfc,2014-02-26,10-K,0000072971_2014-02-26.txt,0.026714285714285715,0.8737142857142857,0.0992857142857143
72971,wfc,2018-03-01,10-K,0000072971_2018-03-01.txt,0.021571428571428575,0.881,0.09757142857142856
